,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Nigeria,2018 DHS,Region : ..Kano,56.3,6.8,10.4,8.1,11.6,32.1,,20.2,37.8
Nigeria,2018 DHS,Region : ..Katsina,58.9,9.4,9.6,1.8,16.9,24.2,,14.2,26.6
Nigeria,2018 DHS,Region : ..Kebbi,81.8,5.7,6,0.6,7.2,11,,7.9,15.3
Nigeria,2018 DHS,Region : ..Sokoto,88.4,2.1,3.2,1.5,3.9,7.7,,2.3,10.6
Nigeria,2018 DHS,Region : ..Zamfara,75,2.7,9.8,3.7,4.4,20.7,,7.8,22.8
Nigeria,2018 DHS,Region : ..Abia,2.1,11.7,48.6,16.3,13.7,84.2,11.3,39.3,88
Nigeria,2018 DHS,Region : ..Anambra,2.3,12.7,42.3,14.1,16.6,81.1,11.2,39.1,87
Nigeria,2018 DHS,Region : ..Ebonyi,11.9,24.7,20.9,5.2,34.5,53.7,7.1,20.1,53.7
Nigeria,2018 DHS,Region : ..Enugu,4.2,13,35.9,17.5,17.5,78.4,11.1,36.7,83.6
Nigeria,2018 DHS,Region : ..Imo,0.5,6.3,37.2,26.2,8.3,91.2,11.4,44.3,85.2
Nigeria,2018 DHS,Region : ..Ekiti,5.1,11.8,33.1,20.3,14.6,80.3,11.1,35.3,80.5
Nigeria,2018 DHS,Region : ..Lagos,5.4,8.9,43.1,25.2,10.8,83.8,11.4,36.5,85.3
Nigeria,2018 DHS,Region : ..Ogun,10.3,19.2,37,19.3,21.9,67.7,11.2,47.5,86.7
Nigeria,2018 DHS,Region : ..Ondo,7.9,14.1,32.9,13.8,18.3,73.8,10.6,27.6,72.4
Nigeria,2018 DHS,Region : ..Osun,6.4,14.3,42.5,14.4,17,76.6,11.2,41,79.9
Nigeria,2018 DHS,Region : ..Oyo,13.8,12.8,39.3,18.4,14.1,72.1,11.2,25.2,71.1
Nigeria,2018 DHS,Region : ..Akwa Ibom,2.9,15.8,36.1,17.4,20.3,76.8,11.1,39.4,80.6
Nigeria,2018 DHS,Region : ..Bayelsa,9.7,13.9,33.3,8.8,16.7,73.6,10.5,34.4,75.2
Nigeria,2018 DHS,Region : ..Cross River,6,12.7,28.8,16.7,18.6,75.5,10.4,37.8,73.6
Nigeria,2018 DHS,Region : ..Delta,7.8,12.4,39.6,18,13.9,78.3,11.2,24.1,77.2
Nigeria,2018 DHS,Region : ..Edo,8.4,16.1,29.9,13.3,19,72.6,9.5,35.2,72.8
Nigeria,2018 DHS,Region : ..Rivers,1,8.9,49.8,15.2,11.9,87.2,11.3,57.5,84
Nigeria,2018 DHS,Region : North Central,31.8,12.5,20.2,10.7,18.4,49.8,6,15.4,49.6
Nigeria,2015 MIS,Total 15-49,38.8,10.6,19.5,10.2,15.5,45.7,5.5,2,53.5
Nigeria,2015 MIS,Region : North East,58.2,10.7,10.5,3.7,15.6,26.3,,3.5,35.9
Nigeria,2015 MIS,Region : North West,70,7.7,7.8,4.1,11.5,18.5,,1.6,24.6
Nigeria,2015 MIS,Region : South East,4.3,11.6,37.5,18.1,15.6,80.1,11.1,2,88.4
Nigeria,2015 MIS,Region : South West,11.9,10.7,31.1,19.9,15,73.1,11,2.6,81.6
Nigeria,2015 MIS,Region : South South,7,13.4,32.7,15.3,17.2,75.9,10.6,2.1,82.5
Nigeria,2015 MIS,Region : ..FCT Abuja,18,12.8,16.7,26.2,17,65,10.1,0,69.9
Nigeria,2015 MIS,Region : ..Benue,28.8,19,17.9,4.3,28.4,42.8,5.6,0,66.5
Nigeria,2015 MIS,Region : ..Kogi,13,16,36.3,10.8,23.1,63.9,10.4,1.1,66.7
Nigeria,2015 MIS,Region : ..Kwara,49.5,8.7,9.5,12.3,13,37.5,1,1.1,42.5
Nigeria,2015 MIS,Region : ..Nasarawa,29.5,15.6,12.3,8.9,28.1,42.4,5.5,0.4,48.7
Nigeria,2015 MIS,Region : ..Niger,75.2,4,8.6,6.8,6,18.9,,0.4,21.9
Nigeria,2015 MIS,Region : ..Plateau,45.8,16,3,2.8,34.2,19.9,2,3.7,30.3
Nigeria,2015 MIS,Region : ..Adamawa,30.4,17.7,11.7,5,27,42.6,5.6,5.7,56.1
Nigeria,2015 MIS,Region : ..Bauchi,73.8,12.3,4.2,0.4,14.1,12.1,,5.5,23.5
Nigeria,2015 MIS,Region : ..Borno,58.7,7,11.3,11.2,7.7,33.6,,0.7,50.4
Nigeria,2015 MIS,Region : ..Gombe,57.1,9.4,16.7,7.3,13.8,29.1,,3.1,39.2
Nigeria,2015 MIS,Region : ..Taraba,65.6,9,6.1,3.6,16.4,18.1,,0.8,22.3
Nigeria,2015 MIS,Region : ..Yobe,59.5,4.9,16.8,2.2,9.1,31.4,,1.8,36.9
Nigeria,2015 MIS,Region : ..Jigawa,86,6.7,3.8,0.1,7.7,6.3,,0,7.4
Nigeria,2015 MIS,Region : ..Kaduna,36.9,12.7,17,7.2,18.2,45,5.6,1.9,52.4
Nigeria,2015 MIS,Region : ..Kano,58.6,11.1,12,7.1,13.8,27.6,,4.9,38.9
Nigeria,2015 MIS,Region : ..Katsina,65,10.3,4.5,5.6,19.2,15.8,,0,21.4
Nigeria,2015 MIS,Region : ..Kebbi,71.9,4,13.1,4.4,6.5,21.6,,2.5,24.4
Nigeria,2015 MIS,Region : ..Sokoto,90.3,0.3,3.8,0.7,2.5,7.2,,0.3,8.7
Nigeria,2015 MIS,Region : ..Zamfara,97.9,0.4,0.7,0.3,1.1,0.9,,0.4,8.8
Nigeria,2015 MIS,Region : ..Abia,4.3,5.3,44.2,13.8,8.5,87.3,11.2,6.8,96.4
Nigeria,2015 MIS,Region : ..Anambra,3.2,9.2,39.4,23.3,11.2,85.6,11.3,0,89.7
Nigeria,2015 MIS,Region : ..Ebonyi,9.8,20.5,28.3,10.6,28.4,61.8,8.6,0.8,72.2
Nigeria,2015 MIS,Region : ..Enugu,5.1,17.2,35.6,16,21.9,73,11,0.5,86.9
Nigeria,2015 MIS,Region : ..Imo,0,5.9,40.6,24,8.2,91.8,11.4,3.2,97
Nigeria,2015 MIS,Region : ..Ekiti,1.3,7.7,32.9,31.4,12.3,86.4,11.4,0.6,90.1
Nigeria,2015 MIS,Region : ..Lagos,6,9.2,50.2,20.2,10.7,83.2,11.4,0.9,89
Nigeria,2015 MIS,Region : ..Ogun,13,15.7,30.2,18.8,19.4,67.6,10.7,6.3,79.5
Nigeria,2015 MIS,Region : ..Ondo,17,20.9,16.1,10.4,26.6,56.4,8.1,4.5,68.9
Nigeria,2015 MIS,Region : ..Osun,7.6,16.1,36.6,12.7,17.2,75.2,10.9,4.4,84.2
Nigeria,2015 MIS,Region : ..Oyo,21.1,3.2,14.5,25.2,11.9,67.1,5.7,1.2,76.4
Nigeria,2015 MIS,Region : ..Akwa Ibom,5.4,14.8,26.4,17.9,22.7,71.9,9.9,3.2,81.9
Nigeria,2015 MIS,Region : ..Bayelsa,11.6,13.3,27.2,8.7,19.8,68.7,8.3,3.2,79.1
Nigeria,2015 MIS,Region : ..Cross River,3.7,16,34.3,11.1,17.4,78.9,10.5,4.3,86.9
Nigeria,2015 MIS,Region : ..Delta,6.1,15.4,25.4,15.7,18.4,75.5,9.2,0.9,80.4
Nigeria,2015 MIS,Region : ..Edo,11.4,9.4,33.2,15.6,10.5,78.1,10.9,0,81.3
Nigeria,2015 MIS,Region : ..Rivers,6.6,12.1,39.8,17.7,14.8,78.6,11.2,1.3,83.5
Nigeria,2015 MIS,Region : North Central,42.1,12.8,14,7.8,21.4,36.5,4.7,1.1,45.6
Nigeria,2013 DHS,Total 15-49,37.8,12.1,18.3,9.1,17.3,44.9,5.6,1.8,53.1
Nigeria,2013 DHS,Region : North East,64.4,8,7.7,4.9,13.7,21.9,,1.8,28.3
Nigeria,2013 DHS,Region : North West,69.4,8.2,7.7,2.5,11.6,19,,1.6,25.8
Nigeria,2013 DHS,Region : South East,5.3,14.4,30.6,14.2,21,73.8,10.3,1.2,84.2
Nigeria,2013 DHS,Region : South West,8.4,16,32.8,17.4,19.4,72.2,11,2.4,82
Nigeria,2013 DHS,Region : South South,5,16.8,29.2,14.2,23.2,71.8,9.8,2.4,81
Nigeria,2013 DHS,Region : ..FCT Abuja,11.4,11.7,26.5,30,16.2,72.4,11.2,0.9,78.8
Nigeria,2013 DHS,Region : ..Benue,17.2,16.8,9.9,5.2,36.8,46,5.7,1.5,52.8
Nigeria,2013 DHS,Region : ..Kogi,13.4,19.5,27.4,11.2,25.1,61.5,8.8,0.5,71.6
Nigeria,2013 DHS,Region : ..Kwara,21.4,17.5,23.5,16.4,19.3,59.3,8.9,3.4,67.9
Nigeria,2013 DHS,Region : ..Nasarawa,31.6,15.6,14.1,8.9,25.9,42.4,5.5,3.8,57.9
Nigeria,2013 DHS,Region : ..Niger,65.8,7.4,10.3,4.9,9.3,24.8,,0.7,29.2
Nigeria,2013 DHS,Region : ..Plateau,21.3,15.9,18.5,12,24.7,54,7.3,2.9,66.9
Nigeria,2013 DHS,Region : ..Adamawa,34.5,13.3,14.6,7.9,22,43.6,5.5,2.9,53.2
Nigeria,2013 DHS,Region : ..Bauchi,72.8,8.6,4.6,2.7,13.7,13.5,,2.1,20.1
Nigeria,2013 DHS,Region : ..Borno,72.4,5.7,6.5,7.1,8.6,19,,0.9,22.2
Nigeria,2013 DHS,Region : ..Gombe,63,7.6,10.3,3.5,13,24,,2.2,32.7
Nigeria,2013 DHS,Region : ..Taraba,45,13.7,9.3,4.8,27.4,27.6,2.4,2.8,40.1
Nigeria,2013 DHS,Region : ..Yobe,85.6,1.3,4.7,2.7,2.7,11.7,,0.4,12.9
Nigeria,2013 DHS,Region : ..Jigawa,83.2,6.2,1.5,0.4,11.1,5.7,,0.7,10.9
Nigeria,2013 DHS,Region : ..Kaduna,40.3,11.2,18.7,8.4,14.7,44.9,5.5,0.6,51.8
Nigeria,2013 DHS,Region : ..Kano,60.2,11.2,9.9,2,15.9,24,,3.5,36.3
Nigeria,2013 DHS,Region : ..Katsina,78.4,10.4,4.7,0.6,12.6,8.9,,1.5,15.2
Nigeria,2013 DHS,Region : ..Kebbi,81.2,5.3,4.3,1.1,8.2,10.5,,1.5,13.2
Nigeria,2013 DHS,Region : ..Sokoto,89.1,2.4,2.1,0.6,3.8,7,,0.7,10.2
Nigeria,2013 DHS,Region : ..Zamfara,86.3,3.5,2.3,1.7,5.5,8.2,,0.2,10.6
Nigeria,2013 DHS,Region : ..Abia,2.6,13.7,36.1,19.8,17.1,80.4,11.2,0.9,91.9
Nigeria,2013 DHS,Region : ..Anambra,2.9,10.1,37.7,19.2,14,83.2,11.2,1.5,91.8
Nigeria,2013 DHS,Region : ..Ebonyi,11.9,19.9,19.5,6,33.2,54.9,7.2,2.3,68.6
Nigeria,2013 DHS,Region : ..Enugu,5.7,17.4,28.5,10.6,24,70.4,9.7,0.3,82.1
Nigeria,2013 DHS,Region : ..Imo,0.5,9.5,35.7,19.3,12.5,87,11.1,0.5,93.3
Nigeria,2013 DHS,Region : ..Ekiti,2,10.3,32.1,25.5,12.8,85.2,11.2,2.4,92.5
Nigeria,2013 DHS,Region : ..Lagos,4.4,11.6,42.6,21.7,13.3,82.2,11.3,1.7,89.3
Nigeria,2013 DHS,Region : ..Ogun,11.9,28.8,25.4,7,34,54.1,7.6,6.7,74.9
Nigeria,2013 DHS,Region : ..Ondo,7.5,15.1,28.3,17.2,19.7,72.8,10.4,1.6,78.9
Nigeria,2013 DHS,Region : ..Osun,4,12.9,32.9,20.7,15.8,80.2,11.1,1.5,91.5
Nigeria,2013 DHS,Region : ..Oyo,15.4,17.5,27,14.6,21.7,62.9,9.1,1.9,71.5
Nigeria,2013 DHS,Region : ..Akwa Ibom,2.8,20,24.5,15.5,25.6,71.6,9.7,4.1,84.6
Nigeria,2013 DHS,Region : ..Bayelsa,4.7,16.3,30.5,6.7,26.4,68.9,8.7,1.8,78.2
Nigeria,2013 DHS,Region : ..Cross River,8.7,18.4,22.6,11.1,28.2,63.1,8.3,2.1,72.8
Nigeria,2013 DHS,Region : ..Delta,7.6,15.8,26.8,15.4,22.4,70,9.5,0.8,77.8
Nigeria,2013 DHS,Region : ..Edo,4.3,15.4,29.3,13.7,21.3,74.3,9.8,1.8,84.1
Nigeria,2013 DHS,Region : ..Rivers,3.1,15.6,37.3,16.8,19.5,77.5,11.1,3,84.6
Nigeria,2013 DHS,Region : North Central,31.6,14.2,16.1,9.7,22.5,45.9,5.7,1.7,54.3
Nigeria,2010 MIS,Total 15-49,42.5,11.7,17,7.6,17,40.5,5.2,2.4,50
Nigeria,2010 MIS,Region : North East,74.7,5.1,6.5,2.8,8.2,17.2,,0.4,23.7
Nigeria,2010 MIS,Region : North West,79.9,4.2,5.4,1.8,8,12.2,,2.2,19.3
Nigeria,2010 MIS,Region : South East,3.2,15.6,34.8,13.3,21.9,74.9,10.7,3.4,89.1
Nigeria,2010 MIS,Region : South West,20.2,13.5,23,13.9,19.8,60,8.6,3.7,70.2
Nigeria,2010 MIS,Region : South South,7.3,21.6,32.1,9.3,27.4,65.4,9.1,2.3,77.6
Nigeria,2010 MIS,Region : North Central,38.9,15.3,12.3,8.7,23.1,38.1,5.2,2.6,48
Nigeria,2008 DHS,Total 15-49,35.8,13.6,17.5,8.9,19.7,44.6,5.6,2.8,53.7
Nigeria,2008 DHS,Region : North East,68.1,8.5,5,2.2,15.5,16.5,,1.7,22.8
Nigeria,2008 DHS,Region : North West,74.2,8.1,5.3,2.5,11.8,14,,2.5,21.1
Nigeria,2008 DHS,Region : South East,6.3,15.3,28.6,13,23.4,70.3,9.6,3.3,81.3
Nigeria,2008 DHS,Region : South West,12,16.7,29.6,16.2,20.9,67.1,10,4.5,79.8
Nigeria,2008 DHS,Region : South South,6,17.7,26.1,12.2,25.3,68.6,8.7,2.1,77.8
Nigeria,2008 DHS,Region : North Central,35.5,16.8,12.9,8,25.1,39.3,5.4,2.1,47.6
Nigeria,2003 DHS,Total 15-49,41.6,13.1,11.9,5.9,21.4,37,5,5.5,48.2
Nigeria,2003 DHS,Region : North East,67.8,9.4,5,2.4,16.5,15.7,,4.2,25.6
Nigeria,2003 DHS,Region : North West,75,7,4.8,2.2,11.8,13.1,,3.1,20.9
Nigeria,2003 DHS,Region : South East,7.7,14.3,27.6,12.1,24.8,67.5,9.2,10.6,85.6
Nigeria,2003 DHS,Region : South West,10.8,19,20.3,11,24,65.2,8.9,7.1,79.1
Nigeria,2003 DHS,Region : South South,8.1,17.8,17.5,9.7,30.3,61.7,7.6,7.3,75
Nigeria,2003 DHS,Region : North Central,35.9,17.6,9.4,4.2,30,34.1,5.1,4.9,43.4
Nigeria,1990 DHS,Total 15-49,57.2,14.8,8.3,1.9,23.9,18.9,,,
Nigeria,1990 DHS,Region : Northeast - 1990,83.7,7.1,2,0.1,11.8,4.4,,,
Nigeria,1990 DHS,Region : Northwest - 1990,87.8,5,2,0.2,8,4.3,,,
Nigeria,1990 DHS,Region : Southeast - 1990,36.2,23.7,9.8,2,40.6,23.1,4.2,,
Nigeria,1990 DHS,Region : Southwest - 1990,26.1,20.7,19.8,5.3,29.8,44.1,5.7,,
Rwanda,2019-20 DHS,Total 15-49,9.4,22.1,7.2,4.4,58.3,32.3,5.2,42.7,84.8
Rwanda,2019-20 DHS,Region : Kigali,3.9,19.6,14.1,14.5,41.3,54.8,7.1,33.1,93.6
Rwanda,2019-20 DHS,Region : West,12.4,21.7,6.2,2.3,60.5,27.1,4.8,45.4,81.8
Rwanda,2019-20 DHS,Region : East,10,20.8,6,2.7,59.4,30.6,5,42.3,83.2
Rwanda,2019-20 DHS,Region : North,9,23.7,6.6,2.8,64.1,26.9,5,48.6,84.1
Rwanda,2019-20 DHS,Region : South,9.8,24.8,5.4,2.7,62.3,27.9,5,42.9,84.1
Rwanda,2017 MIS,Total 15-49,12.4,17.9,6.2,3,61.7,25.9,4.8,69.8,83
Rwanda,2017 MIS,Region : Kigali,4.7,20.6,12.7,10.8,50.2,45.1,5.9,76.2,93.3
Rwanda,2017 MIS,Region : West,12.5,17.5,6.3,1.4,64.6,22.9,4.5,68.8,80.3
Rwanda,2017 MIS,Region : East,12.8,16.4,4,1,66.8,20.5,4.4,68.3,82.8
Rwanda,2017 MIS,Region : North,13,21.5,4.9,1.6,63.6,23.3,4.9,73.7,84.2
Rwanda,2017 MIS,Region : South,17.7,14.6,4.5,2,60,22.3,4.4,63.8,76.7
Rwanda,2014-15 DHS,Total 15-49,12.3,21.6,4.9,2.7,64.3,23.4,4.6,49.3,80.2
Rwanda,2014-15 DHS,Region : Kigali,4.3,21.9,11.3,9.7,52.6,43.2,5.8,44.9,92.1
Rwanda,2014-15 DHS,Region : West,15.1,18.9,4.5,1.8,63.2,21.7,4.3,48.4,77.9
Rwanda,2014-15 DHS,Region : East,15.7,21.2,3.3,1.3,66.3,18,4.1,50,76.3
Rwanda,2014-15 DHS,Region : North,11.4,23.6,4,1.5,66.9,21.8,4.6,47.4,79.9
Rwanda,2014-15 DHS,Region : South,11.5,23,3.8,1.9,68,20.4,4.5,53.4,79.9
Rwanda,2013 MIS,Total 15-49,13.8,17.2,4.3,2.3,68.9,17.3,4.6,51.5,80.2
Rwanda,2013 MIS,Region : Kigali,5.8,19.8,12.2,12.5,53.8,40.4,5.7,44.1,92
Rwanda,2013 MIS,Region : West,17.5,17.8,2.4,0.9,71.9,10.6,4.2,52.9,75.1
Rwanda,2013 MIS,Region : East,15.1,15.4,3.6,0.9,69.2,15.6,4.4,49.8,79.8
Rwanda,2013 MIS,Region : North,13.7,19,3.4,0.7,69.3,17,4.8,54.6,80.7
Rwanda,2013 MIS,Region : South,12.9,15.7,3.5,1,73.4,13.7,4.3,54,79
Rwanda,2010 DHS,Total 15-49,15.5,13.9,2.8,1.5,68.3,16.2,3.8,52.2,76.9
Rwanda,2010 DHS,Region : Kigali,6.2,12.5,10.3,8.3,51.8,42,5.7,42.8,90.4
Rwanda,2010 DHS,Region : West,19.9,12.6,1.5,1.1,68,12.1,3.4,50.9,72.7
Rwanda,2010 DHS,Region : East,17.1,12.9,2.1,0.5,70.1,12.8,3.4,52.6,74.2
Rwanda,2010 DHS,Region : North,16.3,17.4,1.8,0.4,71.2,12.5,3.8,54.3,75.7
Rwanda,2010 DHS,Region : South,13.4,14.4,1.7,0.4,72.9,13.7,3.8,56.4,78.3
Rwanda,2007-08 DHS,Total 15-49,22.2,17.5,3,0.9,66.2,11.6,3.6,,
Rwanda,2007-08 DHS,Region : Kigali,11.7,19.3,8.3,4.7,54.7,33.6,5.3,,
Rwanda,2007-08 DHS,Region : West,26,14.4,2,0.6,65.1,8.9,3.2,,
Rwanda,2007-08 DHS,Region : East,23.5,16,2.3,0.2,67.7,8.8,3.4,,
Rwanda,2007-08 DHS,Region : North,23.4,18.3,3.5,0.6,65.4,11.1,3.7,,
Rwanda,2007-08 DHS,Region : South,20.6,20.4,2.2,0.7,70.4,8.9,3.7,,
Rwanda,2005 DHS,Total 15-49,23.4,10.7,2.1,0.6,67.1,9.6,3.1,49.6,70.3
Rwanda,2005 DHS,Region : Kigali,11.3,14.7,7.2,4.1,58.6,30.1,5.1,47.5,85
Rwanda,2005 DHS,Region : West,28.1,9.8,1.3,0.3,65.7,6.2,2.7,47,65.8
Rwanda,2005 DHS,Region : East,25.5,9.9,0.9,0.1,68.9,5.5,2.7,49,66.2
Rwanda,2005 DHS,Region : North,25.4,7.5,2,0.1,65.2,9.4,3.1,45.7,69.5
Rwanda,2005 DHS,Region : South,20.3,12.8,1.8,0.3,71.4,8.3,3.3,55.9,72.8
Rwanda,2000 DHS,Total 15-49,29.4,17.2,1.8,0.3,59.9,10.6,3.2,47.2,66.1
Rwanda,2000 DHS,Region : Butare/Gitarama,22.7,22.8,1.2,0.2,68.8,8.5,3.6,55.4,72.6
Rwanda,2000 DHS,Region : ..Butare,25,21.5,1.2,0.5,66.5,8.4,3.4,51.3,68.7
Rwanda,2000 DHS,Region : ..Gitarama,20.9,23.9,1.1,0,70.6,8.5,3.8,58.7,75.8
Rwanda,2000 DHS,Region : Byumba/Kibungo,32.6,16.3,0.5,0,60.5,6.9,2.7,45.3,61.1
Rwanda,2000 DHS,Region : ..Byumba,37.6,15.6,0.8,0,56.5,5.9,2.2,42.5,56.5
Rwanda,2000 DHS,Region : ..Kibungo,28,17.7,0.3,0,62.8,9.2,3.1,46.4,64.6
Rwanda,2000 DHS,Region : ..Umutara,31.8,14.2,0.2,0,64.7,3.5,2.6,49.5,64.1
Rwanda,2000 DHS,Region : Cyangugu/Ginkongoro,30.2,17.9,1.2,0.1,60.8,8.9,3.2,47.5,64.3
Rwanda,2000 DHS,Region : ..Cyangugu,22.7,20.4,2,0.2,65.4,11.9,3.9,51.4,72.8
Rwanda,2000 DHS,Region : ..Gikongoro,39.7,14.8,0.1,0,55.1,5.1,1.8,42.6,53.6
Rwanda,2000 DHS,Region : Kibuye/Ruhengeri/Gisenyi,37.1,13,2.2,0.2,53.2,9.6,2.3,41.4,58.7
Rwanda,2000 DHS,Region : ..Kibuye,43.4,13.7,0.1,0,54.3,2.4,1.3,42.1,52.9
Rwanda,2000 DHS,Region : ..Ruhengeri,36.7,12.7,2.7,0.1,54,9.3,2.5,42.4,58.2
Rwanda,2000 DHS,Region : ..Gisenyi,34.5,12.9,2.8,0.3,52,13.5,2.6,40.1,61.9
Rwanda,2000 DHS,Region : Kigali Prefecture 1992,21.3,18.2,3.4,1.3,59.2,19.5,4.2,48.8,76.6
Rwanda,2000 DHS,Region : ..Kigali Ville (PVK) 2000,9.7,19.4,7.4,2.8,52.2,38,5.7,43.8,87
Rwanda,2000 DHS,Region : ..Kigali Rurale 2000,25.8,17.7,1.9,0.7,61.9,12.4,3.5,50.8,72.5
Rwanda,1992 DHS,Total 15-49,38,7.8,0.6,0.2,54.1,7.9,2.2,,
Rwanda,1992 DHS,Region : Butare/Gitarama,29.4,9.8,0.6,0,61.6,9.1,3.3,,
Rwanda,1992 DHS,Region : ..Butare,30.9,9.3,0.5,0.1,59.7,9.4,3.4,,
Rwanda,1992 DHS,Region : ..Gitarama,28,10.2,0.7,0,63.2,8.7,3.2,,
Rwanda,1992 DHS,Region : Byumba/Kibungo,39.9,8.4,0.3,0,54.8,5.3,1.9,,
Rwanda,1992 DHS,Region : ..Byumba,38,7.8,0.4,0,55.5,6.6,2.3,,
Rwanda,1992 DHS,Region : ..Kibungo,41.7,9,0.2,0,54.2,4.1,1.6,,
Rwanda,1992 DHS,Region : Cyangugu/Ginkongoro,38.9,5.6,0.5,0.1,54.6,6.5,2.2,,
Rwanda,1992 DHS,Region : ..Cyangugu,38.5,4.5,0.4,0,56.5,5,2.1,,
Rwanda,1992 DHS,Region : ..Gikongoro,39.3,6.6,0.6,0.2,52.8,7.9,2.2,,
Rwanda,1992 DHS,Region : Kibuye/Ruhengeri/Gisenyi,46.7,6.2,0.3,0.1,47.9,5.5,0.4,,
Rwanda,1992 DHS,Region : ..Kibuye,38.5,6.9,0.4,0,55.6,6,1.7,,
Rwanda,1992 DHS,Region : ..Ruhengeri,49,5.9,0.3,0.1,44.6,6.4,,,
Rwanda,1992 DHS,Region : ..Gisenyi,50.3,6,0.2,0.2,45.6,4.2,,,
Rwanda,1992 DHS,Region : Kigali Prefecture 1992,34.7,8.4,1.3,0.6,51.7,13.6,3,,
Tajikistan,2017 DHS,Total 15-49,2.1,1.9,39.5,17.4,3.7,94.2,9.8,62.5,94.5
Tajikistan,2017 DHS,Region : Dushanbe,0.9,0.7,30.3,33.9,5.3,93.8,10.3,56,98.8
Tajikistan,2017 DHS,Region : GBAO,0.4,0.3,43.2,41.7,0.8,98.8,10.7,48.7,97.6
Tajikistan,2017 DHS,Region : Sughd,0.7,0.3,46,23,0.7,98.7,10.1,66.6,97.4
Tajikistan,2017 DHS,Region : DRS,2.7,2.5,28.9,10.9,4.1,93.3,8.8,69.6,94.8
Tajikistan,2017 DHS,Region : Khatlon,3.2,3.2,42.3,11.2,5.9,90.9,9.7,57.3,90.6
Tajikistan,2012 DHS,Total 15-49,2,2.1,42.6,13.1,3.9,94.1,9.4,,
Tajikistan,2012 DHS,Region : Dushanbe,0.9,1.6,32.8,28.7,3.8,95.3,9.7,,
Tajikistan,2012 DHS,Region : GBAO,0.2,0.2,46.5,36.8,0.5,99.4,10.6,,
Tajikistan,2012 DHS,Region : Sughd,0.5,0.6,47.6,17,1,98.5,9.7,,
Tajikistan,2012 DHS,Region : DRS,1.8,3.2,35.1,9.6,5.4,92.9,8.9,,
Tajikistan,2012 DHS,Region : Khatlon,3.9,3,45.7,6.6,5.5,90.6,9.2,,
Timor-Leste,2016 DHS,Total 15-49,21.7,6.5,19.8,11,15.2,63,8,49.9,74.6
Timor-Leste,2016 DHS,Region : Aileu,24.4,7.7,17.5,5.6,18.9,56.8,7,47.3,74
Timor-Leste,2016 DHS,Region : Ainaro,31,5.5,16.8,4.1,17.2,51.8,6.1,46.1,64.8
Timor-Leste,2016 DHS,Region : Baucau,16.2,4.9,22,7.4,14.3,69.5,8.3,52,76.9
Timor-Leste,2016 DHS,Region : Bobonaro,35.9,7.7,14.8,4,19.4,44.7,5.3,42.4,60.3
Timor-Leste,2016 DHS,Region : Cova Lima,18,11.8,20.6,3.6,20.8,61.1,7.7,49.2,69.9
Timor-Leste,2016 DHS,Region : Dili,6.6,3.6,26.7,30,8.2,85.2,11.2,53.9,91.1
Timor-Leste,2016 DHS,Region : Ermera,47.9,4.8,10.2,1.8,11.8,40.4,2.5,38.3,53.9
Timor-Leste,2016 DHS,Region : Liquica,24.6,6,18.4,4.7,20.5,54.9,6.7,40.9,72.1
Timor-Leste,2016 DHS,Region : Lautem,20.1,10.4,21.8,4.3,17.7,62.3,7.8,54.9,74.5
Timor-Leste,2016 DHS,Region : Manufahi,18.7,6.1,20.9,5.2,14,67.4,8.1,61.7,77.9
Timor-Leste,2016 DHS,Region : Manatuto,20.7,6.3,21.1,5.1,16.2,63.1,7.6,54,73.2
Timor-Leste,2016 DHS,Region : Oecussi,30.2,13.1,12.3,3.8,28.7,41,5.3,50.2,64.2
Timor-Leste,2016 DHS,Region : Viqueque,25.8,8.3,17.2,4.2,16.6,57.6,7.1,52.2,73.5
Timor-Leste,2009-10 DHS,Total 15-49,29.3,8.9,15.8,3.4,22.9,47.8,5.7,10.9,68
Timor-Leste,2009-10 DHS,Region : Aileu,31.4,9.6,10.3,0.8,25,43.6,5.3,11.6,65
Timor-Leste,2009-10 DHS,Region : Ainaro,39.9,5.9,13.4,1.7,16.6,43.5,4.8,5.1,57.8
Timor-Leste,2009-10 DHS,Region : Baucau,27.1,7,17.4,1.5,22.6,50.4,6,12.1,69.3
Timor-Leste,2009-10 DHS,Region : Bobonaro,39.6,10.1,10.1,1.3,24.8,35.6,4.1,10.8,58
Timor-Leste,2009-10 DHS,Region : Cova Lima,21.7,10.5,14.6,1.7,25.6,52.7,6.6,10.6,74.2
Timor-Leste,2009-10 DHS,Region : Dili,10.5,5.2,31.7,13.3,15,74.5,12.5,7.9,89.2
Timor-Leste,2009-10 DHS,Region : Ermera,49.3,8.2,7.6,0.2,21.1,29.5,1.2,5.5,47.2
Timor-Leste,2009-10 DHS,Region : Liquica,33.5,7.9,11.6,0.8,27,39.5,4.5,11,62.8
Timor-Leste,2009-10 DHS,Region : Lautem,20.2,12.8,14.2,1,26.4,53.4,6.5,14.4,78.1
Timor-Leste,2009-10 DHS,Region : Manufahi,27.2,8.1,14.5,1.5,22.5,50.3,6,11.6,70.3
